SFAM,HP_k35_queries,HP_k35_fam_rate,HP_k36_queries,HP_k36_fam_rate,FoldSeek_queries,FoldSeek_fam_rate,TEA_queries,TEA_fam_rate
0.273684,0,0.0,0,0.0,1,1.0,0,0.0
0.27451,0,0.0,0,0.0,2,1.0,3,1.0
0.275,0,0.0,0,0.0,2,1.0,1,1.0
0.275862,0,0.0,0,0.0,6,1.0,7,1.0
0.277108,0,0.0,0,0.0,1,1.0,1,1.0
0.277778,0,0.0,0,0.0,5,0.6,1,1.0
0.280899,0,0.0,0,0.0,1,1.0,0,0.0
0.28125,0,0.0,0,0.0,6,1.0,2,1.0
0.282609,0,0.0,0,0.0,2,1.0,2,1.0
0.283019,0,0.0,0,0.0,2,1.0,1,1.0
0.284091,0,0.0,0,0.0,1,1.0,0,0.0
0.284211,0,0.0,0,0.0,3,1.0,1,1.0
0.285124,0,0.0,0,0.0,1,1.0,1,1.0
0.285714,0,0.0,0,0.0,10,0.9,19,1.0
0.286385,0,0.0,0,0.0,1,1.0,0,0.0
0.286517,0,0.0,0,0.0,1,1.0,2,1.0
0.287879,0,0.0,0,0.0,1,1.0,0,0.0
0.28866,0,0.0,0,0.0,1,1.0,0,0.0
0.289062,0,0.0,0,0.0,1,1.0,0,0.0
0.289157,0,0.0,0,0.0,1,1.0,0,0.0
0.28972,0,0.0,0,0.0,1,1.0,0,0.0
0.29108,0,0.0,0,0.0,1,0.0,0,0.0
0.291498,0,0.0,0,0.0,1,1.0,0,0.0
0.291667,0,0.0,0,0.0,1,1.0,0,0.0
0.292,0,0.0,0,0.0,1,0.0,0,0.0
0.292135,0,0.0,0,0.0,1,1.0,1,1.0
0.292453,0,0.0,0,0.0,1,1.0,0,0.0
0.292683,0,0.0,0,0.0,1,1.0,0,0.0
0.293814,0,0.0,0,0.0,1,1.0,0,0.0
0.294118,0,0.0,0,0.0,4,1.0,4,1.0
0.294737,0,0.0,0,0.0,2,1.0,0,0.0
0.295547,0,0.0,0,0.0,1,1.0,0,0.0
0.296296,0,0.0,0,0.0,2,1.0,0,0.0
0.296875,0,0.0,0,0.0,1,1.0,0,0.0
0.297297,0,0.0,0,0.0,1,1.0,2,1.0
0.298387,0,0.0,0,0.0,1,1.0,0,0.0
0.298969,0,0.0,0,0.0,1,1.0,0,0.0
0.299065,0,0.0,0,0.0,1,1.0,0,0.0
0.3,0,0.0,0,0.0,3,0.6666666666666666,7,1.0
0.300885,0,0.0,0,0.0,1,1.0,0,0.0
0.301653,0,0.0,0,0.0,2,1.0,0,0.0
0.304348,0,0.0,0,0.0,9,1.0,0,0.0
0.305085,0,0.0,0,0.0,1,1.0,0,0.0
0.305221,0,0.0,0,0.0,2,1.0,0,0.0
0.305263,0,0.0,0,0.0,2,1.0,1,1.0
0.305556,0,0.0,0,0.0,2,1.0,0,0.0
0.306818,0,0.0,0,0.0,4,1.0,2,1.0
0.307692,0,0.0,0,0.0,8,1.0,5,0.8
0.308943,0,0.0,0,0.0,1,1.0,0,0.0
0.308989,0,0.0,0,0.0,1,1.0,0,0.0
0.309735,0,0.0,0,0.0,1,1.0,0,0.0
0.310345,0,0.0,0,0.0,1,1.0,15,1.0
0.310757,0,0.0,0,0.0,1,1.0,1,1.0
0.311741,0,0.0,0,0.0,1,1.0,0,0.0
0.3125,0,0.0,0,0.0,6,1.0,9,1.0
0.313725,0,0.0,0,0.0,1,1.0,2,1.0
0.314286,0,0.0,0,0.0,3,1.0,0,0.0
0.314433,0,0.0,0,0.0,1,1.0,0,0.0
0.314815,0,0.0,0,0.0,2,1.0,0,0.0
0.314961,0,0.0,0,0.0,1,1.0,0,0.0
0.315789,0,0.0,0,0.0,5,1.0,1,1.0
0.317073,0,0.0,0,0.0,1,1.0,1,1.0
0.317757,0,0.0,0,0.0,1,1.0,0,0.0
0.318182,0,0.0,0,0.0,1,1.0,0,0.0
0.318584,0,0.0,0,0.0,2,1.0,0,0.0
0.319444,0,0.0,0,0.0,1,1.0,0,0.0
0.319838,0,0.0,0,0.0,1,1.0,0,0.0
0.320755,0,0.0,0,0.0,1,1.0,1,1.0
0.321429,0,0.0,0,0.0,3,1.0,2,1.0
0.322581,0,0.0,0,0.0,1,1.0,1,1.0
0.322917,0,0.0,0,0.0,1,1.0,0,0.0
0.323276,0,0.0,0,0.0,1,1.0,3,1.0
0.323529,0,0.0,0,0.0,1,0.0,2,0.5
0.324074,0,0.0,0,0.0,1,1.0,0,0.0
